Contract Name;Last Traded Date;Strike;Last Price;Bid;Ask;Type;Expiry;;;;;;;;
AAPL250110C00105000;12/03/2024;105;135,41;136,45;140,25;CALL;10/01/2025;;;;;;;;
AAPL250110C00110000;29/11/2024;110;127,73;131,4;135,3;CALL;10/01/2025;;;;;;;;
AAPL250110C00115000;29/11/2024;115;122,76;126,5;130,3;CALL;10/01/2025;;;;;;;;
AAPL250110C00120000;29/11/2024;120;117,47;121,45;125,35;CALL;10/01/2025;;;;;;;;
AAPL250110C00125000;29/11/2024;125;112,46;116,7;120,35;CALL;10/01/2025;;;;;;;;
AAPL250110C00130000;12/03/2024;130;110,55;111,5;115,4;CALL;10/01/2025;;;;;;;;
AAPL250110C00135000;29/11/2024;135;102,95;106,5;110,35;CALL;10/01/2025;;;;;;;;
AAPL250110C00140000;12/03/2024;140;100,6;101,55;104,05;CALL;10/01/2025;;;;;;;;
AAPL250110C00145000;12/03/2024;145;95,68;96,6;99;CALL;10/01/2025;;;;;;;;
AAPL250110C00150000;12/04/2024;150;93,28;93,1;94,25;CALL;10/01/2025;;;;;;;;
AAPL250110C00155000;12/03/2024;155;85,76;88,2;89,25;CALL;10/01/2025;;;;;;;;
AAPL250110C00160000;12/03/2024;160;80,78;83,25;84,3;CALL;10/01/2025;;;;;;;;
AAPL250110C00165000;12/03/2024;165;75,78;78,4;79,15;CALL;10/01/2025;;;;;;;;
AAPL250110C00170000;12/03/2024;170;72,56;71,9;75,65;CALL;10/01/2025;;;;;;;;
AAPL250110C00175000;29/11/2024;175;62,76;67,05;70,7;CALL;10/01/2025;;;;;;;;
AAPL250110C00180000;12/03/2024;180;63,84;61,8;65,7;CALL;10/01/2025;;;;;;;;
AAPL250110C00185000;12/03/2024;185;55,97;57;60,8;CALL;10/01/2025;;;;;;;;
AAPL250110C00190000;12/06/2024;190;54,5;53,7;54,25;CALL;10/01/2025;;;;;;;;
AAPL250110C00195000;12/05/2024;195;48,92;48,7;49,25;CALL;10/01/2025;;;;;;;;
AAPL250110C00200000;12/06/2024;200;44,79;41,95;44,6;CALL;10/01/2025;;;;;;;;
AAPL250110C00205000;12/04/2024;205;39,82;37;39,65;CALL;10/01/2025;;;;;;;;
AAPL250110C00210000;12/06/2024;210;34,41;32,1;35,7;CALL;10/01/2025;;;;;;;;
AAPL250110C00220000;12/06/2024;220;24,77;24,15;24,7;CALL;10/01/2025;;;;;;;;
AAPL250110C00225000;12/06/2024;225;19,7;18,05;19,75;CALL;10/01/2025;;;;;;;;
AAPL250110C00230000;12/06/2024;230;15,28;14,5;15,25;CALL;10/01/2025;;;;;;;;
AAPL250110C00235000;12/06/2024;235;10,72;10,2;11,15;CALL;10/01/2025;;;;;;;;
AAPL250110C00240000;12/06/2024;240;7,2;6,45;7,8;CALL;10/01/2025;;;;;;;;
AAPL250110C00245000;12/06/2024;245;4,3;3,55;4,4;CALL;10/01/2025;;;;;;;;
AAPL250110C00250000;12/06/2024;250;2,38;2,28;2,41;CALL;10/01/2025;;;;;;;;
AAPL250110C00255000;12/06/2024;255;1,19;1,14;1,3;CALL;10/01/2025;;;;;;;;
AAPL250110C00260000;12/06/2024;260;0,66;0,4;0,63;CALL;10/01/2025;;;;;;;;
AAPL250110C00265000;12/06/2024;265;0,31;0,29;0,36;CALL;10/01/2025;;;;;;;;
AAPL250110C00270000;12/06/2024;270;0,18;0,15;0,2;CALL;10/01/2025;;;;;;;;
AAPL250110C00275000;12/06/2024;275;0,13;0,08;0,13;CALL;10/01/2025;;;;;;;;
AAPL250110C00300000;12/04/2024;300;0,04;0;0,04;CALL;10/01/2025;;;;;;;;
AAPL250110P00100000;12/03/2024;100;0,05;0;0,27;PUT;10/01/2025;;;;;;;;
AAPL250110P00110000;12/03/2024;110;0,07;0;0,27;PUT;10/01/2025;;;;;;;;
AAPL250110P00115000;29/11/2024;115;0,12;0;0,03;PUT;10/01/2025;;;;;;;;
AAPL250110P00120000;29/11/2024;120;0,14;0;0,04;PUT;10/01/2025;;;;;;;;
AAPL250110P00125000;12/03/2024;125;0,05;0;0,04;PUT;10/01/2025;;;;;;;;
AAPL250110P00130000;29/11/2024;130;0,1;0;0,04;PUT;10/01/2025;;;;;;;;
AAPL250110P00135000;12/03/2024;135;0,06;0;0,04;PUT;10/01/2025;;;;;;;;
AAPL250110P00140000;12/03/2024;140;0,07;0;0,05;PUT;10/01/2025;;;;;;;;
AAPL250110P00145000;12/03/2024;145;0,08;0;0,05;PUT;10/01/2025;;;;;;;;
AAPL250110P00150000;12/06/2024;150;0,05;0;0,06;PUT;10/01/2025;;;;;;;;
AAPL250110P00155000;12/03/2024;155;0,09;0;0,07;PUT;10/01/2025;;;;;;;;
AAPL250110P00160000;12/03/2024;160;0,09;0;0,08;PUT;10/01/2025;;;;;;;;
AAPL250110P00165000;12/03/2024;165;0,1;0;0,08;PUT;10/01/2025;;;;;;;;
AAPL250110P00170000;12/05/2024;170;0,06;0,04;0,09;PUT;10/01/2025;;;;;;;;
AAPL250110P00175000;29/11/2024;175;0,23;0;0,19;PUT;10/01/2025;;;;;;;;
AAPL250110P00180000;12/03/2024;180;0,12;0,06;0,11;PUT;10/01/2025;;;;;;;;
AAPL250110P00185000;12/06/2024;185;0,08;0;0,36;PUT;10/01/2025;;;;;;;;
AAPL250110P00190000;12/06/2024;190;0,12;0,12;0,14;PUT;10/01/2025;;;;;;;;
AAPL250110P00195000;12/06/2024;195;0,12;0,12;0,16;PUT;10/01/2025;;;;;;;;
AAPL250110P00200000;12/06/2024;200;0,14;0,14;0,18;PUT;10/01/2025;;;;;;;;
AAPL250110P00205000;12/06/2024;205;0,18;0,16;0,21;PUT;10/01/2025;;;;;;;;
AAPL250110P00210000;12/06/2024;210;0,23;0,2;0,25;PUT;10/01/2025;;;;;;;;
AAPL250110P00215000;12/06/2024;215;0,31;0,26;0,31;PUT;10/01/2025;;;;;;;;
AAPL250110P00220000;12/06/2024;220;0,39;0,38;0,41;PUT;10/01/2025;;;;;;;;
AAPL250110P00225000;12/06/2024;225;0,58;0,39;0,63;PUT;10/01/2025;;;;;;;;
AAPL250110P00230000;12/06/2024;230;1;0,87;1,07;PUT;10/01/2025;;;;;;;;
AAPL250110P00235000;12/06/2024;235;1,78;1,45;1,83;PUT;10/01/2025;;;;;;;;
AAPL250110P00240000;12/06/2024;240;3,15;2,7;3,2;PUT;10/01/2025;;;;;;;;
AAPL250110P00245000;12/06/2024;245;5,35;4,25;5,5;PUT;10/01/2025;;;;;;;;
AAPL250110P00250000;12/06/2024;250;8,5;7,5;8,9;PUT;10/01/2025;;;;;;;;
AAPL250417C00110000;14/11/2024;110;119,2;134,3;135,25;CALL;17/04/2025;;;;;;;;
AAPL250417C00115000;26/11/2024;115;122,24;127,8;131,75;CALL;17/04/2025;;;;;;;;
AAPL250417C00120000;12/04/2024;120;125,65;122,9;126,85;CALL;17/04/2025;;;;;;;;
AAPL250417C00125000;12/05/2024;125;119,99;118,65;121,35;CALL;17/04/2025;;;;;;;;
AAPL250417C00130000;12/05/2024;130;115,79;113,85;116,4;CALL;17/04/2025;;;;;;;;
AAPL250417C00135000;12/02/2024;135;107,7;108,9;111,55;CALL;17/04/2025;;;;;;;;
AAPL250417C00140000;12/05/2024;140;105,99;104,1;107,3;CALL;17/04/2025;;;;;;;;
AAPL250417C00145000;12/02/2024;145;97,99;99,1;102,4;CALL;17/04/2025;;;;;;;;
AAPL250417C00150000;12/06/2024;150;96,22;94,45;96,85;CALL;17/04/2025;;;;;;;;
AAPL250417C00155000;12/05/2024;155;91,42;89,35;92,1;CALL;17/04/2025;;;;;;;;
AAPL250417C00160000;12/06/2024;160;87,16;85,6;87,15;CALL;17/04/2025;;;;;;;;
AAPL250417C00165000;29/11/2024;165;75,49;79,65;82,35;CALL;17/04/2025;;;;;;;;
AAPL250417C00170000;12/06/2024;170;77,19;75,1;77,3;CALL;17/04/2025;;;;;;;;
AAPL250417C00175000;12/06/2024;175;71,93;70,2;72,65;CALL;17/04/2025;;;;;;;;
AAPL250417C00180000;12/06/2024;180;67,51;64,65;68,55;CALL;17/04/2025;;;;;;;;
AAPL250417C00185000;12/02/2024;185;63,54;59,85;63,3;CALL;17/04/2025;;;;;;;;
AAPL250417C00190000;12/05/2024;190;57,52;56,45;57,6;CALL;17/04/2025;;;;;;;;
AAPL250417C00195000;12/05/2024;195;52,82;52,1;52,6;CALL;17/04/2025;;;;;;;;
AAPL250417C00200000;12/06/2024;200;48,25;47,5;47,9;CALL;17/04/2025;;;;;;;;
AAPL250417C00205000;12/06/2024;205;43,66;42,95;43,5;CALL;17/04/2025;;;;;;;;
AAPL250417C00210000;12/06/2024;210;39,05;38,55;39,85;CALL;17/04/2025;;;;;;;;
AAPL250417C00215000;12/06/2024;215;34,75;34,2;35,8;CALL;17/04/2025;;;;;;;;
AAPL250417C00220000;12/06/2024;220;30,25;30,1;30,4;CALL;17/04/2025;;;;;;;;
AAPL250417C00225000;12/06/2024;225;26,89;26,15;27,45;CALL;17/04/2025;;;;;;;;
AAPL250417C00230000;12/06/2024;230;22,72;22,35;23,25;CALL;17/04/2025;;;;;;;;
AAPL250417C00235000;12/06/2024;235;19,1;18,9;19,35;CALL;17/04/2025;;;;;;;;
AAPL250417C00240000;12/06/2024;240;15,9;15,75;18;CALL;17/04/2025;;;;;;;;
AAPL250417C00245000;12/06/2024;245;13;12,9;13,7;CALL;17/04/2025;;;;;;;;
AAPL250417C00250000;12/06/2024;250;10,6;10,45;10,85;CALL;17/04/2025;;;;;;;;
AAPL250417C00255000;12/06/2024;255;8,7;8,35;8,55;CALL;17/04/2025;;;;;;;;
AAPL250417C00260000;12/06/2024;260;6,7;6,55;6,8;CALL;17/04/2025;;;;;;;;
AAPL250417C00265000;12/06/2024;265;5,25;5,15;5,25;CALL;17/04/2025;;;;;;;;
AAPL250417C00270000;12/06/2024;270;4,05;3,95;4,1;CALL;17/04/2025;;;;;;;;
AAPL250417C00275000;12/06/2024;275;3,2;3,05;3,15;CALL;17/04/2025;;;;;;;;
AAPL250417C00280000;12/06/2024;280;2,45;2,29;2,45;CALL;17/04/2025;;;;;;;;
AAPL250417C00285000;12/06/2024;285;1,85;1,75;1,83;CALL;17/04/2025;;;;;;;;
AAPL250417C00290000;12/05/2024;290;1,5;1,16;1,4;CALL;17/04/2025;;;;;;;;
AAPL250417C00295000;12/06/2024;295;1,09;1,02;1,08;CALL;17/04/2025;;;;;;;;
AAPL250417C00300000;12/06/2024;300;0,84;0,8;0,83;CALL;17/04/2025;;;;;;;;
AAPL250417C00305000;12/06/2024;305;0,67;0,62;0,66;CALL;17/04/2025;;;;;;;;
AAPL250417C00310000;12/05/2024;310;0,55;0,46;0,54;CALL;17/04/2025;;;;;;;;
AAPL250417C00315000;12/05/2024;315;0,44;0,36;0,44;CALL;17/04/2025;;;;;;;;
AAPL250417C00320000;12/05/2024;320;0,34;0,31;0,42;CALL;17/04/2025;;;;;;;;
AAPL250417C00325000;12/06/2024;325;0,29;0,23;0,29;CALL;17/04/2025;;;;;;;;
AAPL250417C00330000;12/04/2024;330;0,25;0,2;0,23;CALL;17/04/2025;;;;;;;;
AAPL250417C00335000;12/05/2024;335;0,19;0,17;0,19;CALL;17/04/2025;;;;;;;;
AAPL250417C00340000;12/05/2024;340;0,16;0,14;0,17;CALL;17/04/2025;;;;;;;;
AAPL250417P00110000;12/05/2024;110;0,11;0,07;0,12;PUT;17/04/2025;;;;;;;;
AAPL250417P00115000;23/10/2024;115;0,22;0;0,37;PUT;17/04/2025;;;;;;;;
AAPL250417P00120000;12/02/2024;120;0,14;0,01;0,35;PUT;17/04/2025;;;;;;;;
AAPL250417P00125000;12/03/2024;125;0,13;0;0,17;PUT;17/04/2025;;;;;;;;
AAPL250417P00130000;12/03/2024;130;0,15;0,01;0,19;PUT;17/04/2025;;;;;;;;
AAPL250417P00135000;21/11/2024;135;0,26;0,17;0,2;PUT;17/04/2025;;;;;;;;
AAPL250417P00140000;25/11/2024;140;0,25;0,19;0,24;PUT;17/04/2025;;;;;;;;
AAPL250417P00145000;27/11/2024;145;0,25;0;0,25;PUT;17/04/2025;;;;;;;;
AAPL250417P00150000;12/06/2024;150;0,25;0,06;0,28;PUT;17/04/2025;;;;;;;;
AAPL250417P00155000;12/06/2024;155;0,29;0,29;0,32;PUT;17/04/2025;;;;;;;;
AAPL250417P00160000;12/06/2024;160;0,35;0,34;0,36;PUT;17/04/2025;;;;;;;;
AAPL250417P00165000;12/03/2024;165;0,42;0,4;0,42;PUT;17/04/2025;;;;;;;;
AAPL250417P00170000;12/06/2024;170;0,46;0,47;0,49;PUT;17/04/2025;;;;;;;;
AAPL250417P00175000;12/05/2024;175;0,57;0,55;0,58;PUT;17/04/2025;;;;;;;;
AAPL250417P00180000;12/06/2024;180;0,69;0,66;0,69;PUT;17/04/2025;;;;;;;;
AAPL250417P00185000;12/06/2024;185;0,8;0,8;0,83;PUT;17/04/2025;;;;;;;;
AAPL250417P00190000;12/06/2024;190;1;0,77;1,01;PUT;17/04/2025;;;;;;;;
AAPL250417P00195000;12/06/2024;195;1,19;1,15;1,24;PUT;17/04/2025;;;;;;;;
AAPL250417P00200000;12/06/2024;200;1,45;1,48;1,53;PUT;17/04/2025;;;;;;;;
AAPL250417P00205000;12/06/2024;205;1,85;1,77;1,9;PUT;17/04/2025;;;;;;;;
AAPL250417P00210000;12/06/2024;210;2,35;1,94;2,6;PUT;17/04/2025;;;;;;;;
AAPL250417P00215000;12/06/2024;215;2,86;2,68;3,05;PUT;17/04/2025;;;;;;;;
AAPL250417P00220000;12/06/2024;220;3,7;3,6;3,85;PUT;17/04/2025;;;;;;;;
AAPL250417P00225000;12/06/2024;225;4,65;4,6;4,75;PUT;17/04/2025;;;;;;;;
AAPL250417P00230000;12/06/2024;230;5,9;5,8;6;PUT;17/04/2025;;;;;;;;
AAPL250417P00235000;12/06/2024;235;7,4;7,15;7,5;PUT;17/04/2025;;;;;;;;
AAPL250417P00240000;12/06/2024;240;9,17;8,95;9,3;PUT;17/04/2025;;;;;;;;
AAPL250417P00245000;12/06/2024;245;11,25;10;11,5;PUT;17/04/2025;;;;;;;;
AAPL250417P00250000;12/06/2024;250;13,9;13,7;14,1;PUT;17/04/2025;;;;;;;;
AAPL250417P00255000;12/06/2024;255;16,9;16,6;17,65;PUT;17/04/2025;;;;;;;;
AAPL250417P00260000;12/06/2024;260;19,65;19,95;20,8;PUT;17/04/2025;;;;;;;;
AAPL250417P00265000;12/06/2024;265;23,55;23,6;24,7;PUT;17/04/2025;;;;;;;;
AAPL250417P00270000;12/06/2024;270;27,75;27,65;28,35;PUT;17/04/2025;;;;;;;;
AAPL250417P00275000;12/04/2024;275;31,75;31,3;33,65;PUT;17/04/2025;;;;;;;;
AAPL250417P00280000;12/02/2024;280;40,18;35,35;38,8;PUT;17/04/2025;;;;;;;;
